groq: 1 models x 3 tiers x 3 contracts, 10 cases x 3 repeats -> up to 9 cells
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
  1/9 openai/gpt-oss-120b / json_schema / TicketSummary: first 100%, final 
100%, accurate 87%
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 2/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
  2/9 openai/gpt-oss-120b / json_schema / TicketAnalysis: first 100%, final 
100%, accurate 20%
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 2/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
  3/9 openai/gpt-oss-120b / json_schema / TicketTriage: first 100%, final 100%,
accurate 20%
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
